Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
107,SWV-MAO-VLNK,4,MAO,MADGOAN JN.,12:10:00,00:00:00,78,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
108,VLNK-MAO-SWV,4,SWV,SAWANTWADI R,22:25:00,00:00:00,83,MAO,MADGOAN JN.,SWV,SAWANTWADI ROAD
128,MAO-KOP SPEC,22,KOP,CHHATRAPATI,17:45:00,17:45:00,978,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
290,PALACE ON WH,14,DSJ,DELHI-SAFDAR,02:30:00,02:30:00,2694,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
401,BSB BHARATDA,12,BSB,VARANASI JN.,10:00:00,10:00:00,1618,AWB,AURANGABAD,BSB,VARANASI JN.
421,LKO-SVDK FTR,5,SVDK,SHRI MATA VA,08:00:00,08:00:00,1276,LKO,LUCKNOW JN.,SVDK,SHRI MATA VAISHNO DEVI KATRA
422,SVDK-LKO FTR,5,LKO,LUCKNOW JN.,14:30:00,14:30:00,1277,SVDK,SHRI MATA VAISHNO DEVI KATRA,LKO,LUCKNOW JN.
477,FTR TRAIN NO,14,SSA,SIRSA,15:20:00,15:20:00,2616,SSA,SIRSA,SSA,SIRSA
502,RJPB-UMB FTR,9,UMB,AMBALA CANTT,09:30:00,09:30:00,1206,RJPB,RAJENDRANAGAR TERMINAL,UMB,AMBALA CANTT JN
504,PNBE-BTI FTR,3,BTI,BATHINDA JN,10:00:00,10:00:00,1313,PNBE,PATNA JN.,BTI,BATHINDA JN
506,PNBE-PTA FTR,3,PTA,PATIALA,15:45:00,15:45:00,1161,PNBE,PATNA JN.,PTA,PATIALA
557,RSD-PJP BSF,2,PJP,PANJIPARA,11:00:00,11:00:00,1301,URK,URKURA,PJP,PANJIPARA
604,PNBE-ASR FTR,3,ASR,AMRITSAR JN.,16:00:00,16:00:00,1429,PNBE,PATNA JN.,ASR,AMRITSAR JN.
1011,CSMT-NGP SF,18,NGP,NAGPUR JN.(C,14:20:00,14:20:00,841,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1037,LTT-SWV SPL,10,SWV,SAWANTWADI R,10:30:00,10:30:00,513,LTT,LOKMANYA TILAK TERMINUS,SWV,SAWANTWADI ROAD
1038,SWV-LTT SPL,10,LTT,LOKMANYA TIL,00:20:00,00:20:00,503,SWV,SAWANTWADI ROAD,LTT,LOKMANYA TILAK TERMINUS
1045,LTT-KRMI SPL,11,KRMI,KARMALI,11:00:00,11:00:00,563,LTT,LOKMANYA TILAK TERMINUS,KRMI,KARMALI
1119,AJNI-KRMI SP,24,KRMI,KARMALI,20:30:00,20:30:00,1329,AJNI,AJNI,KRMI,KARMALI
1120,KRMI-AJNI SP,24,AJNI,AJNI,22:00:00,22:00:00,1319,KRMI,KARMALI,AJNI,AJNI
1122,KRMI-CSMT SP,14,CSMT,CST-MUMBAI,10:30:00,10:30:00,569,KRMI,KARMALI,CSMT,CST-MUMBAI
1196,NGP-KRMI SPL,26,KRMI,KARMALI,21:30:00,21:30:00,1332,NGP,NAGPUR JN.(CR),KRMI,KARMALI
1301,PUNE-MAJN WE,17,MAJN,MANGALORE JN,12:30:00,12:30:00,976,PUNE,PUNE JN.,MAJN,MANGALORE JN
1302,MAJN-PUNE WE,17,PUNE,PUNE JN.,13:10:00,13:10:00,973,MAJN,MANGALORE JN,PUNE,PUNE JN.
1442,DSJ-KK MTY S,13,KK,KHADKI,02:15:00,02:15:00,1581,DSJ,DELHI-SAFDAR JANG,KK,KHADKI
1655,PUNE-JBP SPL,13,JBP,JABALPUR,06:15:00,06:15:00,1050,PUNE,PUNE JN.,JBP,JABALPUR
1656,JBP-PUNE SPL,13,PUNE,PUNE JN.,14:05:00,14:05:00,1050,JBP,JABALPUR,PUNE,PUNE JN.
1705,BDTS-JBP SF,14,JBP,JABALPUR,21:40:00,21:40:00,1261,BDTS,BANDRA TERMINUS,JBP,JABALPUR
1706,JBP-BDTS SF,14,BDTS,BANDRA TERMI,11:15:00,11:15:00,1262,JBP,JABALPUR,BDTS,BANDRA TERMINUS
1707,JBP-ATT BI-W,17,ATT,ATARI JN,11:45:00,11:45:00,1360,JBP,JABALPUR,ATT,ATARI JN
1708,ATT-JBP BI-W,17,JBP,JABALPUR,17:20:00,17:20:00,1362,ATT,ATARI JN,JBP,JABALPUR
2025,CSMT-KRMI SF,7,KRMI,KARMALI,13:20:00,13:20:00,579,CSMT,CST-MUMBAI,KRMI,KARMALI
2026,KRMI-CSMT SF,7,CSMT,CST-MUMBAI,23:00:00,23:00:00,569,KRMI,KARMALI,CSMT,CST-MUMBAI
2191,JBP-SRC SF S,16,SRC,SANTRAGACHI,16:00:00,16:00:00,1123,JBP,JABALPUR,SRC,SANTRAGACHI JN.
2192,SRC-JBP SF S,16,JBP,JABALPUR,15:50:00,15:50:00,1123,SRC,SANTRAGACHI JN.,JBP,JABALPUR
2195,REWA-BPL SF,10,BPL,BHOPAL,23:00:00,23:00:00,551,REWA,REWA,BPL,BHOPAL
2196,BPL-REWA SF,10,REWA,REWA,09:45:00,09:45:00,549,BPL,BHOPAL,REWA,REWA
2515,TVC-SCL SPL,58,SCL,SILCHAR,05:00:00,05:00:00,3939,TVC,TRIVANDRUM CENTRAL,SCL,SILCHAR
2651,PLNI-POY EXP,3,POY,POLLACHI,09:10:00,09:10:00,62,PLNI,PALANI,POY,POLLACHI
2652,POY-PLNI EXP,3,PLNI,PALANI,18:10:00,18:10:00,62,POY,POLLACHI,PLNI,PALANI
2731,HYB-JP HSP,29,JP,JAIPUR JN.,06:25:00,06:25:00,1854,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2732,JP-HYB SPECI,29,HYB,HYDERABAD DE,02:00:00,02:00:00,1853,JP,JAIPUR JN.,HYB,HYDERABAD DECCAN
2821,PUNE-SRC AC,14,SRC,SANTRAGACHI,18:15:00,18:15:00,2066,PUNE,PUNE JN.,SRC,SANTRAGACHI JN.
2822,SRC-PUNE  AC,14,PUNE,PUNE JN.,02:45:00,02:45:00,2073,SRC,SANTRAGACHI JN.,PUNE,PUNE JN.
2833,RJT-SRC SF A,29,SRC,SANTRAGACHI,16:35:00,16:35:00,2332,RJT,RAJKOT,SRC,SANTRAGACHI JN.
2834,SRC-RJT SF A,29,RJT,RAJKOT,13:45:00,13:45:00,2351,SRC,SANTRAGACHI JN.,RJT,RAJKOT
2841,SRC MAS SPL,12,MAS,CHENNAI CENT,15:20:00,15:20:00,1656,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2842,MAS SRC SPL,12,SRC,SANTRAGACHI,23:30:00,23:30:00,1656,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
2845,PUNE HTE SPL,17,HTE,HATIA,18:20:00,18:20:00,1770,PUNE,PUNE JN.,HTE,HATIA
2846,HTE-PUNE SPL,17,PUNE,PUNE JN.,02:45:00,02:45:00,1791,HTE,HATIA,PUNE,PUNE JN.
